NCT ID,Acronym,Overall Status,Start Date,Conditions,Interventions,Locations,Primary Completion Date,Study First Post Date,Last Update Post Date,Study Type,Phases,Race Information
NCT01848457,Unknown,COMPLETED,2013-04,"Osteosarcoma, Nephrotoxicity, Ototoxicity","Pantoprazole, High-dose methotrexate infusion duration",Philadelphia - United States,2016-01-04,2013-05-07,2020-03-16,INTERVENTIONAL,PHASE2,{}
NCT00889057,Unknown,COMPLETED,2008-01,Osteosarcoma,sorafenib,"Candiolo - Italy, Bologna - Italy, Milano - Italy, Torino - Italy",2010-12,2009-04-28,2013-03-28,INTERVENTIONAL,PHASE2,{}
NCT06114225,PROMIS,RECRUITING,2023-06-01,Osteosarcoma,metastasectomy and pre-operative immunotherapy (gemcitabine and penpulimab ) and stereotactic body radiotherapy,Shanghai - China,2026-09-15,2023-11-02,2023-11-02,INTERVENTIONAL,PHASE2,{}
NCT00005625,Unknown,COMPLETED,1999-12,Sarcoma,trabectedin,New York - United States,2003-09,2004-04-19,2013-06-19,INTERVENTIONAL,PHASE2,{}
NCT02718482,OsteoREC2015,TERMINATED,2016-04-06,OSTEOSARCOMA,"Gemcitabine and Docetaxel, Ifosfamide","Candiolo - Italy, Torino - Italy, Bologna - Italy, Firenze - Italy, Genova - Italy, Milano - Italy, Napoli - Italy, Padova - Italy, Rome - Italy, Torino - Italy",2019-01-07,2016-03-24,2019-05-13,INTERVENTIONAL,PHASE2,{}
NCT01804374,SERIO,COMPLETED,2011-06,"Metastatic Osteosarcoma, Relapsed Osteosarcoma","Sorafenib, Everolimus",Candiolo - Italy,2014-12,2013-03-05,2015-06-17,INTERVENTIONAL,PHASE2,{}
NCT04634227,Unknown,RECRUITING,2020-11-24,"Sarcoma, Soft Tissue Sarcoma, Unresectable Soft Tissue Sarcoma, Metastatic Bone Tumor, Bone Sarcoma",Ascorbate,Iowa City - United States,2024-08-31,2020-11-18,2024-04-01,INTERVENTIONAL,EARLY_PHASE1,{}
NCT03013127,PROMO,TERMINATED,2017-05-30,Osteosarcoma,Pembrolizumab,"Bologna - Italy, Oslo - Norway",2018-11-26,2017-01-06,2020-10-14,INTERVENTIONAL,PHASE2,{}
NCT01491594,Unknown,TERMINATED,2012-04,"Sarcoma, Soft Tissue, Osteosarcoma, Neoplasms, Connective and Soft Tissue",Eltrombopag,Durham - United States,2013-03,2011-12-14,2014-04-02,INTERVENTIONAL,PHASE1,{}
NCT04365660,Unknown,TERMINATED,2021-01-28,Osteosarcoma,18-F FTC 146,Stanford - United States,2021-05-28,2020-04-28,2023-11-14,INTERVENTIONAL,PHASE2,"{'American Indian or Alaska Native': 0, 'Asian': 0, 'Native Hawaiian or Other Pacific Islander': 0, 'Black or African American': 0, 'White': 0, 'More than one race': 0, 'Unknown or Not Reported': 1}"
NCT05794594,Unknown,COMPLETED,2015-10-01,Osteosarcoma in Children,3D printed personalized extendable prosthesis,Chongqing - China,2023-01-01,2023-04-03,2023-04-03,OBSERVATIONAL,Not Available,{}
NCT06474676,Unknown,NOT_YET_RECRUITING,2024-12-31,Metastatic Soft-tissue Sarcoma,"Cyclophosphamide, T Cell Membrane-Anchored Tumor-Targeted IL12 -Modified TIL Cell Therapy",Houston - United States,2030-12-31,2024-06-26,2024-07-03,INTERVENTIONAL,PHASE1,{}
NCT00003776,Unknown,COMPLETED,1998-12,Sarcoma,"filgrastim, cisplatin, doxorubicin hydrochloride, ifosfamide, leucovorin calcium, methotrexate, trimetrexate glucuronate, surgical procedure",New York - United States,2000-03,2004-08-18,2013-06-21,INTERVENTIONAL,PHASE2,{}
NCT00954473,Unknown,COMPLETED,2009-01,"Localized Osteosarcoma, Metastatic Osteosarcoma, Recurrent Osteosarcoma",laboratory biomarker analysis,Arcadia - United States,2016-05,2009-08-07,2016-05-19,OBSERVATIONAL,Not Available,{}
NCT04897880,NORTH,TERMINATED,2019-01-09,"Rhabdoid Tumor, Atypical Teratoid/Rhabdoid Tumor, Malignant Rhabdoid Tumor, Recurrent Brain Tumor, Childhood",Panobinostat,"Durham - United States, New Lambton - Australia, Randwick - Australia, Westmead - Australia, North Adelaide - Australia, Hobart - Australia, Clayton - Australia, Parkville - Australia, Nedlands - Australia, Grafton - New Zealand, Christchurch - New Zealand",2021-12-24,2021-05-24,2022-06-08,INTERVENTIONAL,PHASE2,{}
NCT00802880,Unknown,COMPLETED,2009-03,Sarcoma,Dacarbazine,St. Louis - United States,2015-01,2008-12-05,2017-02-13,INTERVENTIONAL,PHASE2,{}
NCT00002466,Unknown,COMPLETED,1990-05,"Kidney Cancer, Sarcoma","cyclophosphamide, doxorubicin hydrochloride, etoposide, ifosfamide, vincristine sulfate, conventional surgery, radiation therapy",New York - United States,2005-05,2004-04-26,2013-06-20,INTERVENTIONAL,PHASE2,{}
NCT03612466,Unknown,WITHDRAWN,2022-08,"Osteosarcoma, Bone Metastases","153Sm-DOTMP, External beam radiotherapy., Calcium Carbonate, Mozobil, Neupogen Injectable Product",Bronx - United States,2023-01,2018-08-02,2022-10-14,INTERVENTIONAL,PHASE1,{}
NCT04886765,Unknown,UNKNOWN,2021-05,Osteosarcoma,ALMB-0168,No locations listed,2023-11,2021-05-14,2021-05-14,INTERVENTIONAL,"PHASE1, PHASE2",{}
NCT04539366,Unknown,RECRUITING,2022-01-25,"Recurrent Childhood Neuroblastoma, Recurrent Childhood Osteosarcoma, Recurrent Neuroblastoma, Recurrent Osteosarcoma, Refractory Childhood Neuroblastoma, Refractory Childhood Osteosarcoma, Refractory Neuroblastoma, Refractory Osteosarcoma","Biopsy, Biospecimen Collection, Bone Marrow Aspiration, Bone Marrow Biopsy, Cyclophosphamide, Echocardiography, Fludarabine Phosphate, GD2-CAR-expressing Autologous T-lymphocytes, Imaging Technique, Magnetic Resonance Imaging of the Heart, Multigated Acquisition Scan, Questionnaire Administration","Los Angeles - United States, Palo Alto - United States, Bethesda - United States, Philadelphia - United States, Madison - United States",2040-12-31,2020-09-07,2024-08-23,INTERVENTIONAL,PHASE1,{}
